"","SERIALNO","PUMA","PWGTP","AGEP","SEX","WAGP"
213,2011000145097,2100,26,10,1,0
214,2011000145097,2100,26,7,1,0
215,2011000145715,2100,6,20,1,0
216,2011000146056,2100,19,54,2,52000
217,2011000146056,2100,27,28,1,2400
218,2011000146056,2100,26,26,1,1100
219,2011000146056,2100,27,21,1,0
220,2011000146161,2100,13,59,2,43000
221,2011000148627,2100,6,72,2,0
222,2011000152533,2100,2,76,2,0
223,2011000152533,2100,2,81,1,0
224,2011000153211,2100,24,18,2,5000
225,2011000155539,2100,5,41,2,0
226,2011000156150,2100,4,21,2,2000
227,2011000157265,2100,8,24,2,1000
228,2011000157581,2100,7,68,1,25000
229,2011000157581,2100,7,64,2,35000
230,2011000161699,2100,13,22,2,0
231,2011000165234,2100,6,28,1,0
232,2011000170738,2100,11,25,1,54000
233,2011000170738,2100,12,22,2,2000
234,2011000171814,2100,19,51,1,75000
235,2011000173743,2100,11,46,2,80000
236,2011000173743,2100,12,45,1,80000
237,2011000173743,2100,11,17,2,0
238,2011000173743,2100,11,14,2,0
239,2011000173743,2100,12,12,1,0
240,2011000173831,2100,11,19,1,2800
241,2011000175839,2100,13,90,2,0
242,2011000176669,2100,23,50,1,60000
243,2011000178306,2100,4,53,2,48500
244,2011000178306,2100,4,50,1,38000
245,2011000178306,2100,6,21,1,8000
246,2011000178306,2100,5,14,1,0
247,2011000179576,2100,4,24,2,30000
248,2011000179576,2100,5,3,2,0
249,2011000179576,2100,4,37,1,0
250,2011000179583,2100,16,19,2,350
251,2011000180798,2100,12,47,1,1e+05
252,2011000180798,2100,13,47,2,19000
253,2011000180798,2100,12,17,2,2500
254,2011000181300,2100,16,18,1,300
255,2011000183631,2100,11,47,2,33000
256,2011000183631,2100,11,14,1,0
257,2011000183631,2100,11,8,2,0
258,2011000183631,2100,11,48,1,38500
259,2011000183814,2100,16,19,1,0
260,2011000185425,2100,10,46,2,11400
261,2011000185425,2100,9,50,1,36300
262,2011000185425,2100,9,9,2,0
263,2011000185425,2100,9,7,2,0
264,2011000189399,2100,18,84,2,0
265,2011000189399,2100,19,81,1,2100
266,2011000190218,2100,14,24,1,17000
267,2011000190218,2100,14,21,2,12000
268,2011000190410,2100,6,28,2,21800
269,2011000190410,2100,8,30,1,14800
270,2011000190410,2100,13,1,2,0
271,2011000191795,2100,60,22,1,4500
272,2011000191795,2100,84,21,1,300
273,2011000192218,2100,12,26,1,50000
274,2011000192218,2100,13,24,2,0
275,2011000192218,2100,14,2,1,0
276,2011000192716,2100,3,79,1,0
277,2011000192716,2100,3,76,2,0
278,2011000192716,2100,5,52,1,58000
279,2011000194587,2100,9,33,1,22000
280,2011000194587,2100,10,27,2,0
281,2011000195944,2100,24,52,2,30000
282,2011000195944,2100,66,18,1,0
283,2011000195944,2100,38,17,1,0
284,2011000195944,2100,23,16,1,0
285,2011000195944,2100,27,15,1,0
286,2011000196385,2100,12,37,1,88000
287,2011000198081,2100,5,30,2,35000
288,2011000198081,2100,6,0,1,0
289,2011000198081,2100,6,34,1,40000
290,2011000198249,2100,23,35,2,30000
291,2011000198249,2100,21,43,1,27000
292,2011000198249,2100,29,23,2,25000
293,2011000198249,2100,21,16,1,1300
294,2011000198249,2100,23,12,1,0
295,2011000198546,2100,89,32,2,25000
296,2011000198546,2100,119,15,1,0
297,2011000198546,2100,59,13,2,0
298,2011000198546,2100,60,9,1,0
299,2011000198638,2100,24,52,2,25000
300,2011000198638,2100,27,54,1,950
301,2011000198638,2100,29,13,1,0
302,2011000199389,2100,3,20,1,1200
303,2011000199910,2100,14,75,1,0
304,2011000201951,2100,17,20,2,6000
305,2011000202053,2100,20,14,1,0
306,2011000202813,2100,19,20,2,5000
307,2011000203304,2100,14,47,1,99000
308,2011000204073,2100,2,76,1,0
309,2011000204073,2100,3,69,2,0
310,2011000204073,2100,4,36,2,12500
311,2011000204073,2100,2,17,1,2300
312,2011000204073,2100,3,8,1,0
313,2011000204305,2100,25,23,1,3000
314,2011000204690,2100,14,20,2,2000
315,2011000205207,2100,32,21,1,0
316,2011000205207,2100,43,21,1,500
317,2011000205207,2100,44,21,1,16700
318,2011000205290,2100,3,34,2,20000
319,2011000205290,2100,3,11,1,0
320,2011000205290,2100,3,10,1,0
321,2011000207887,2100,1,28,1,5900
322,2011000208640,2100,21,79,1,0
323,2011000208640,2100,22,68,2,0
324,2011000208828,2100,6,60,2,4000
325,2011000209512,2100,31,55,1,90000
326,2011000209512,2100,31,53,2,8000
327,2011000210553,2100,18,85,2,0
328,2011000210553,2100,20,90,1,0
329,2011000212902,2100,3,76,2,0
330,2011000215450,2100,21,84,2,0
331,2011000217408,2100,17,18,1,1000
332,2011000217890,2100,27,63,2,0
333,2011000217890,2100,30,63,1,6900
334,2011000218476,2100,21,20,2,950
335,2011000220609,2100,62,28,1,65000
336,2011000220609,2100,51,29,2,0
337,2011000222629,2100,66,47,2,20000
338,2011000222629,2100,105,20,2,9000
339,2011000226087,2100,13,56,1,56000
340,2011000226087,2100,13,55,2,50000
341,2011000226087,2100,20,22,2,12600
342,2011000226087,2100,19,20,1,5000
343,2011000227748,2100,4,79,1,0
344,2011000227965,2100,16,94,2,0
345,2011000228199,2100,3,59,1,12000
346,2011000230570,2100,12,38,2,36000
347,2011000230570,2100,11,43,1,38000
348,2011000230570,2100,12,12,1,0
349,2011000230570,2100,12,13,1,0
350,2011000231896,2100,7,23,2,22000
351,2011000231896,2100,7,22,1,36000
352,2011000235215,2100,19,22,2,1500
353,2011000235810,2100,10,42,1,6000
354,2011000235810,2100,12,37,2,18000
355,2011000235810,2100,12,10,1,0
356,2011000235810,2100,11,9,2,0
357,2011000235810,2100,12,1,1,0
358,2011000241129,2100,17,45,1,48000
359,2011000241870,2100,23,21,1,2900
360,2011000243335,2100,23,84,1,0
361,2011000243554,2100,5,85,2,0
362,2011000244312,2100,21,19,2,70
363,2011000247004,2100,8,43,2,36000
364,2011000247004,2100,13,23,2,2700
365,2011000247004,2100,12,18,2,0
366,2011000247004,2100,8,2,1,0
367,2011000247591,2100,15,19,2,2000
368,2011000250689,2100,19,31,1,30000
369,2011000250689,2100,19,7,1,0
370,2011000251367,2100,22,56,1,0
371,2011000251787,2100,17,58,1,20000
372,2011000251787,2100,17,55,2,0
373,2011000251870,2100,16,79,2,0
374,2011000251870,2100,21,28,1,0
375,2011000252154,2100,22,47,1,21000
376,2011000253052,2100,20,80,1,0
377,2011000254000,2100,17,22,1,3500
378,2011000256509,2100,14,29,1,76000
379,2011000256509,2100,19,26,1,77000
380,2011000256509,2100,19,26,1,78000
381,2011000256510,2100,2,71,2,0
382,2011000258417,2100,20,81,2,0
383,2011000260884,2100,12,87,2,0
384,2011000262754,2100,15,58,1,59000
385,2011000263789,2100,13,72,2,25000
386,2011000264097,2100,23,19,2,70
387,2011000267332,2100,11,68,2,0
388,2011000272031,2100,14,21,1,2000
389,2011000272704,2100,35,78,2,0
390,2011000273408,2100,4,55,2,43000
391,2011000273408,2100,4,48,1,0
392,2011000275009,2100,18,20,2,10000
393,2011000275055,2100,39,25,2,45000
394,2011000275055,2100,51,25,1,0
395,2011000276055,2100,27,76,2,0
396,2011000278301,2100,18,60,2,9000
397,2011000278301,2100,24,71,1,0
398,2011000278571,2100,19,36,1,67000
399,2011000278571,2100,23,31,2,0
400,2011000278571,2100,20,5,1,0
401,2011000278571,2100,25,3,1,0
402,2011000278571,2100,25,0,1,0
403,2011000280235,2100,5,49,1,43000
404,2011000280235,2100,4,50,2,25000
405,2011000280235,2100,6,20,1,16000
406,2011000281239,2100,12,30,1,50000
407,2011000281239,2100,11,30,2,38000
408,2011000281239,2100,12,4,1,0
409,2011000281352,2100,9,36,1,60000
410,2011000281352,2100,9,30,2,60000
411,2011000283505,2100,22,47,1,24000
412,2011000283505,2100,27,22,1,0
413,2011000283505,2100,27,30,2,15000
414,2011000284040,2100,4,35,1,5500
415,2011000284040,2100,4,43,2,30000
416,2011000284727,2100,14,57,1,160000
417,2011000284727,2100,14,57,2,2000
418,2011000284727,2100,20,23,1,25000
419,2011000284727,2100,19,20,1,5000
420,2011000284971,2100,4,50,1,21000
421,2011000284971,2100,4,53,2,9000
422,2011000287761,2100,13,49,1,28000
423,2011000287761,2100,27,40,2,36000
424,2011000287761,2100,25,5,2,0
425,2011000287761,2100,26,2,1,0
426,2011000288001,2100,6,28,2,0
427,2011000288001,2100,7,28,1,60000
428,2011000288001,2100,8,6,1,0
